ME   gamma_EE_chiLchiL   gamma_EE_ff   gamma_EE_BB   
21503046.79340254   16.57051527483148   657.2970938523607   2060.673324858629
21827299.118430037   16.324354351502635   647.532710739313   2030.0612865536532
22156440.963128574   16.081850236617584   637.9133810252102   1999.9040010122021
22490546.058357827   15.842948606980586   628.4369498899938   1970.1947127195226
22829689.2467918   15.60759594638658   619.1012945242353   1940.9267665164734
23173946.499684796   15.375739533632713   609.9043236535936   1912.093606108662
23523394.93388948   15.147327430708474   600.8439770703557   1883.6887725977963
23878112.829131782   14.922308471161065   591.9182251719316   1855.7059030348278
24238179.64554634   14.700632248633594   583.125068506201   1828.1387289945847
24603676.041476272   14.48224910557362   574.4625373236198   1800.9810751715925
24974683.891541433   14.267110122109381   565.9286911359771   1774.2268579967458
25351286.30497907   14.055167105091282   557.5216182817074   1747.87008427453
25733567.644261096   13.846372577296174   549.2394354976601   1721.9048498404904
26121613.543992054   13.640679766792024   541.0802874972322   1696.3253382386451
26515510.93009208   13.438042596460559   533.0423465547656   1671.1258194185439
26915348.039269138   13.238415673675545   525.1238120961192   1646.3006484516818
27321214.43878484   13.041754280134434   517.3229102953246   1621.8442642669838
27733201.04651838   12.84801436184103   509.6378936772312   1597.7511884050705
28151400.15133303   12.657152519236972   502.0670407260559   1574.0160237910322
28575905.433749437   12.469125997479924   494.6086554997503   1550.6334535254473
29006811.98693156   12.28389267686584   487.26106725008447   1527.5982396933114
29444216.337987572   12.101411063394126   480.02263004839836   1504.905222190743
29888216.46959377   11.92164027947218   472.891722416882   1482.5493175690237
30338911.84194272   11.744540054758819   465.86674696536403   1460.5255178959012
30796403.415023934   11.570070717143057   458.9461300334714   1438.8288896337365
31260793.67123956   11.398193183857323   452.1283213381184   1417.454572534353
31732186.638361443   11.228868952722513   445.4117936262286   1396.3977785503023
32210687.912834346   11.062060093523138   438.7950423326156   1375.653790762285
32696404.683430526   10.897729239510621   432.276585242946   1355.2179623225284
33189445.75526103   10.735839579032778   425.85496216171003   1335.0857154138394
33689921.57414906   10.576354847287671   419.5287345851238   1315.2525402241367
34197944.25137087   10.419239318199939   413.29648537889057   1295.7139939362073
34713627.58876975   10.264457796417835   407.1568184607502   1276.4656997324741
35237087.10424869   10.111975609429141   401.1083584877432   1257.5033458145506
35768440.057647504   9.961758599794186   395.1497505481206   1238.8226844373548
36307805.4770101   9.813773117494268   389.2796598578318   1220.4195309575737
36855304.1852479   9.667986012393731   383.49677146152004   1202.289762896267
37411058.82720537   9.52436462681401   377.799789937959   1184.429319015388
37975193.89713323   9.382876788218097   372.187439109871   1166.8341984080444
38547835.76657721   9.243490802003368   366.65846175804154   1149.5004596022225
39129112.71268532   9.106175444401993   361.21161933970285   1132.4242196779057
39719154.94694405   8.970899955486278   355.8456917110787   1115.6016533972288
40318094.64434654   8.837634032278261   350.5594768540653   1099.0289923476037
40926065.97300109   8.706347821961554   345.3517906069676   1082.702524097559
41543205.12418612   8.577011915194001   340.221466399235   1066.6185913651163
42169650.342858225   8.449597339519748   335.1673549901394   1050.773591198531
42805541.95862039   8.324075552879105   330.188324211334   1035.1639741691897
43451022.41715714   8.20041843721489   325.2832587132377   1019.7862435765121
44106236.312143676   8.078598292173686   320.45105971518507   1004.6369546646516
44771330.41763623   7.9585878289007335   315.69064475929054   989.7127138508419
45446453.72095085   7.840360163926954   311.00094746796674   975.0101779651999
46131757.45603791   7.723888813146805   306.3809173050466   960.526053501825
46827395.137359984   7.609147685885589   301.82951934045263   946.257095881025
47533522.59428049   7.496111079054912   297.3457340183639   932.2001087224963
48250298.00597104   7.384753671394905   292.92855692882415   918.3519431293042
48977881.936844565   7.275050517802136   288.5769985827485   904.7094969825118
49716437.372524336   7.16697704374148   284.2900841902617   891.269714246253
50466129.75635277   7.060509039741433   280.06685344234495   878.0295842831811
51227127.02645391   6.9556226559707195   275.90636029570834   864.9861411800276
51999599.65335162   6.852294396895931   271.8076727608771   852.1364630832396
52783720.678157695   6.750501116018133   267.7698726934103   839.4776715444318
53579665.751334175   6.6502200106879235   263.7920555882317   827.006930875602
54387613.172040805   6.5514286169974   259.87333037701063   814.7214475139066
55207743.92807573   6.454104804748037   256.01281922855514   802.618469395874
56040241.73641845   6.358226772493313   252.209657352169   790.6952853409196
56885293.08438413   6.263773042654978   248.46299280393058   778.9492244440148
57743087.27139853   6.170722456711881   244.7719862958497   767.3776554773792
58613816.45140284   6.079054170460265   241.13581100785908   755.9779863010607
59497675.675897986   5.9887476493444565   237.55365240259857   744.7476632822717
60394862.93763794   5.89978266385695   234.02470804295191   733.6841707233538
61305579.21498202   5.812139285006793   230.54818741229252   722.785030298233
62230028.51691589   5.7257978798553175   227.12331173740063   712.0478004972564
63168417.92875149   5.640739107118168   223.74931381401106   701.4700760802684
64120957.65851622   5.556943912832668   220.4254378349514   691.049487537814
65087861.08404086   5.474393526089607   217.15093922083668   680.7837005603526
66069344.80075964   5.393069454828256   213.9250844532714   670.6704155153362
67065628.670227826   5.312953481694135   210.7471509105411   660.7073669320898
68076935.86937417   5.234027659958023   207.6164267057331   650.8923229943078
69103492.94049406   5.156274309495785   204.53221052726957   641.2230850401163
70145529.84199713   5.07967601282785   201.49381148180672   631.6974870695469
71203279.99992026   5.004215611217516   198.50054893946802   622.3133952593352
72276980.36021702   4.929876200827255   195.5517523813771   613.0687074849241
73366871.44183594   4.856641128932081   192.6467612494549   603.9613528495671
74473197.39059888   4.78449399018918   189.78492479844843   594.9892912204285
75596206.03389211   4.713418622962972   186.96560195015812   586.150512771575
76736148.93618186   4.643399105704745   184.18816114982997   577.4430375337554
77893281.45536716   4.574419753386076   181.45198022468125   568.8649149508684
79067862.79998246   4.506465113985248   178.7564462445285   560.4142234430211
80260156.08726265   4.439519965025842   176.10095538448465   552.0890699760755
81470428.40208387   4.373569310166767   173.48491278969752   543.8875896375928
82698950.85679325   4.30859837584292   170.90773244209538   535.8079452190731
83945998.65193965   4.24459260795583   168.36883702911607   527.848326804409
85211851.13792305   4.181537668613283   165.86765781437893   520.0069513644358
86496791.87756921   4.119419432917659   163.40363451028855   512.2820623575334
87801108.70965302   4.058223985801661   160.97621515251905   504.6719293361256
89125093.8133746   3.9979376189113442   158.58485597637386   497.17484755906077
90469043.77381195   3.9385468275352307   156.22902129497416   489.78913760972154
91833259.6483581   3.8800383075791594   153.90818337926126   482.51314501982523
93218047.03416082   3.822398952586044   151.6218223397803   475.3452398988075
94623716.1365793   3.7656158507998954   149.36942601021968   468.283816568709
96050581.83867304   3.7096762822734766   147.15048983268167   461.32729320449124
97498963.77173866   3.6545677160189047   144.964516744656   454.47411147969086
98969186.38691024   3.600277807200601   142.81101706767365   447.72273621734115
100461579.02783926   3.5467943943699396   140.68950839761465   441.07165504607866
101976476.00447163   3.494105496740921   138.59951549664308   434.519378061353
103514216.66793452   3.442199311506442   136.54057018675246   428.06443749168204
105075145.48655507   3.3910642111943172   134.51221124488785   421.7053873698544
106659612.1230259   3.3406887410625647   132.51398429962566   415.44080320901145
108267971.51272984   3.291061616533549   130.54544172939453   409.2692816835639
109900583.94325219   3.242171720666007   128.60614256219904   403.1894403148177
111557815.13508508   3.1940081016648625   126.6956523768426   397.1999171613006
113240036.32355577   3.14655997042782   124.81354320560861   391.29937051366113
114947624.3419833   3.099816698128595   122.9593934383955   385.4864785941252
116680961.70609629   3.0537678138358726   121.13278772826872   379.75993926039405
118440436.69971642   3.008403002167806   119.33331689842254   374.11846971396375
120226443.46174131   2.963712100981185   117.56057785051698   368.56080621275436
122039382.07443209   2.919685099095099   115.81417347438327   363.08570378803023
123879658.6530369   2.87631213404831   114.09371255906605   357.69193596551145
125747685.43676564   2.83358348988994   112.39880970518762   352.37829449062826
127643880.88113435   2.7914895950030316   110.72908523861557   347.1435890578644
129568669.75170216   2.7500210199604367   109.08416512541328   341.98664704411993
131522483.21922377   2.7091684754125174   107.46368088805183   336.9063132460297
133505758.9562368   2.6689228100062223   105.86726952286685   331.901449621185
135518941.23510352   2.6292750083351164   104.29457341874297   326.970935033203
137562481.0275309   2.590216188919869   102.74524027700654   322.11366500058546
139636836.10559362   2.551737602218698   101.21892303250655   317.3285514493011
141742471.14428094   2.5138306286673595   99.71527977586759   312.614522469043
143879857.82558438   2.476486776748354   98.23397367690171   307.97052207312
146049474.94416335   2.439697681088669   96.77467290915214   303.39550996189536
148251808.51459515   2.403455100585934   95.3370505755642   298.8884612897601
