z   Sigma_E1   Delta_E1   Sigma_E2   Delta_E2   Sigma_E3   Delta_E3   Sigma_nuR   Delta_nuR   Delta_phi_R   Delta_er   Delta_phiR_2m   Delta_psi_L   Delta_phi_L   
8.61549491951168   0.00034431028625029025   -8.995447794087451e-13   3.3338890257806123e-06   1.447951939673884e-13   7.921158020408879e-07   3.312239145657085e-14   0.0036935408652653354   1.5768167309082662e-10   -1.5768167309082662e-10   1.5768986878621385e-10   -1.5768986878621385e-10   3.1456897616382835e-10   8.561248686161907e-13
9.6481441837326   0.00023876186909387398   -7.304694587780064e-13   1.070231614856696e-06   5.630192690209476e-14   1.9801347759639553e-07   1.0520329801497641e-14   0.003713728121611257   1.8284519986085084e-10   -1.8284519986085084e-10   1.8285459797187927e-10   -1.8285459797187927e-10   3.6495888429880395e-10   8.10461226171048e-13
10.68079344795352   0.00015855970346307567   -5.373646856354593e-13   3.6076363364027237e-07   2.0625051460384274e-14   5.282927583711745e-08   3.181969765435948e-15   0.003729492597940822   2.0251265453856905e-10   -2.0251265453856905e-10   2.0252276081064828e-10   -2.0252276081064828e-10   4.042937948228788e-10   7.436576377753562e-13
11.713442712174439   0.00010061147866860406   -3.6428714644664946e-13   1.0230255249091015e-07   6.860415505032012e-15   9.118024919480347e-09   7.339089736168834e-16   0.0037410047883453296   2.1688335302706594e-10   -2.1688335302706594e-10   2.168938246295962e-10   -2.168938246295962e-10   4.3301581644227624e-10   6.790169934536227e-13
12.746091976395359   6.0997085914025926e-05   -2.308876726165163e-13   -4.047969428283606e-10   1.5840008331296458e-15   -8.578787115219955e-09   -7.871469175596217e-17   0.0037489074214749137   2.2675189287801678e-10   -2.2675189287801678e-10   2.267625355494559e-10   -2.267625355494559e-10   4.5273221482624196e-10   6.276001285795298e-13
14.72552224578677   2.0696778330714373e-05   -7.438672606480171e-14   -2.1230750826806508e-08   -7.462177459348536e-16   -6.509747248605535e-09   -2.2494568731023007e-16   0.003757028235263527   2.368980029555684e-10   -2.368980029555684e-10   2.369086998635963e-10   -2.369086998635963e-10   4.729968447657117e-10   5.648773287419736e-13
16.70495251517818   6.614559239976517e-06   -2.032365886545301e-14   2.5940043618553653e-10   1.9874412638382304e-17   -9.512984455340372e-11   -4.468267861951806e-18   0.0037598744210733184   2.4045411577543303e-10   -2.4045411577543303e-10   2.4046479578223107e-10   -2.4046479578223107e-10   4.800977265536391e-10   5.428247637862452e-13
18.684382784569593   2.2911733151289295e-06   -9.198165169503163e-15   -3.1339589917361715e-09   -1.2267837630866162e-16   -6.508881735756147e-10   -2.812022452064316e-17   0.0037607348513325916   2.4152797068019387e-10   -2.4152797068019387e-10   2.4153865396133803e-10   -2.4153865396133803e-10   4.822432247604337e-10   5.385229529750287e-13
20.663813053961004   6.985092227161636e-07   -5.223460577578657e-15   1.5517651873506904e-09   8.191988636014444e-17   2.7902476088035224e-10   1.3092632871765407e-17   0.0037610434164114604   2.419129606312537e-10   -2.419129606312537e-10   2.419236575638091e-10   -2.419236575638091e-10   4.830119735724139e-10   5.372055482037583e-13
24.046316644894244   -1.590771024884878e-06   3.303512327362025e-15   -5.07858995610432e-11   -2.885741667250864e-18   -2.1789954192291138e-11   -1.0616109007770565e-18   0.003761475002203219   2.4245174075382005e-10   -2.424517407538201e-10   2.4246249991669695e-10   -2.4246249991669695e-10   4.840875890942451e-10   5.346711034418384e-13
26.42744782891716   -1.26558509588039e-07   1.631288479917867e-15   2.3795049711852823e-09   1.2930709616488467e-16   4.834246305684612e-10   2.2856397109893243e-17   0.0037611830711073908   2.42087812895198e-10   -2.42087812895198e-10   2.4209857186966994e-10   -2.4209857186966994e-10   4.833599611895254e-10   5.353039440603154e-13
28.808579012940076   5.500773551029569e-07   -1.1888749248542586e-15   -3.467000702855347e-09   -1.8186562925268478e-16   -7.262614409352767e-10   -3.286580787607659e-17   0.0037610536824905557   2.419261869972086e-10   -2.419261869972086e-10   2.419369328767901e-10   -2.419369328767901e-10   4.830377197954046e-10   5.362416008439184e-13
31.18971019696299   2.1090485404510588e-08   -7.016630321175078e-16   1.1365340702401137e-10   5.847645153531836e-18   2.0188177541194223e-11   8.73275299501336e-19   0.003761161975300262   2.4206121144732516e-10   -2.420612114473252e-10   2.4207195182224433e-10   -2.4207195182224433e-10   4.833074704297974e-10   5.359764244906007e-13
33.57084138098591   -2.3188123436081813e-07   4.786771206744921e-16   1.4652424047657157e-11   7.758709560916023e-19   6.7705284902900024e-12   3.099036489270088e-19   0.0037612112033433365   2.42122741893116e-10   -2.42122741893116e-10   2.4213348469923737e-10   -2.4213348469923737e-10   4.834302803619586e-10   5.355439120730468e-13
35.95197256500883   1.4685611067464184e-08   2.2343431694801803e-16   -2.4062574953892923e-10   -1.2729471494568681e-17   -4.8076149834993615e-11   -2.1971423505324417e-18   0.003761160209137389   2.4205915131715394e-10   -2.4205915131715394e-10   2.420698971422133e-10   -2.420698971422133e-10   4.833031476629357e-10   5.356892919709473e-13
40.42331080993283   8.340961452124517e-08   -1.854975285967801e-17   -1.0118390175436553e-12   -5.3208296144741354e-20   -4.670348473302508e-13   -2.118734808179471e-20   0.003761144181608533   2.4203910139307094e-10   -2.4203910139307094e-10   2.4204985226863026e-10   -2.4204985226863026e-10   4.832630536997545e-10   5.358563987857395e-13
44.89464905485683   9.303136906495485e-10   -1.3915367335913178e-16   1.7076400877175613e-10   8.953795946273807e-18   3.498169517164253e-11   1.5805164291076287e-18   0.0037611607501314846   2.4205971166063807e-10   -2.4205971166063807e-10   2.420704630419035e-10   -2.420704630419035e-10   4.833042889653845e-10   5.359088331095646e-13
49.365987299780826   -2.864873401038057e-08   1.9601887186556614e-17   -2.592515102536956e-11   -1.377632900407915e-18   -4.808640119654006e-12   -2.2067880953902557e-19   0.0037611673296942755   2.4206794830048525e-10   -2.4206794830048525e-10   2.420786985168674e-10   -2.420786985168674e-10   4.833207521582858e-10   5.358268885633925e-13
53.837325544704825   1.2718720735505178e-08   7.258469417903535e-17   -1.0419428169162253e-10   -5.458774847253324e-18   -2.119217314207384e-11   -9.56223309793509e-19   0.0037611593629072277   2.4205804195020175e-10   -2.4205804195020175e-10   2.4206879139158503e-10   -2.4206879139158503e-10   4.83300938384177e-10   5.357945738731892e-13
92.28868249007132   -2.6229867256266493e-09   9.057943914851836e-18   -2.978073848422881e-14   -1.565793870704381e-21   3.0151757419318846e-10   -6.049153469472799e-22   0.003761166969861812   2.4205564147405674e-10   -2.4205564147405674e-10   2.420663860368947e-10   -2.420663860368947e-10   4.832961834129474e-10   5.357421240584167e-13
100.0   3.1147534989801253e-09   -6.54233290850444e-18   1.107554603387976e-10   1.2137679914887515e-21   1.9279479694243263e-10   4.652994311905485e-22   0.0037611661913844237   2.4205107689970996e-10   -2.4205107689970996e-10   2.4206182159540277e-10   -2.4206182159540277e-10   4.832870554562465e-10   5.357510873681627e-13
